epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,74.6125,0.87745,0.70549,1.30493,0.94568,0.91071,0.91557,0.63484,1.09635,0.65007,1.96877,0.000178586,0.000178586,0.000178586
18,81.721,0.87599,0.73385,1.27308,0.93929,0.91071,0.88811,0.61367,1.15869,0.73059,2.05841,0.000175943,0.000175943,0.000175943
19,86.2454,0.8584,0.73473,1.29001,0.92747,0.91348,0.88583,0.6052,1.12755,0.75082,2.05761,0.000173168,0.000173168,0.000173168
20,93.5508,0.83887,0.60648,1.30594,0.96295,0.92832,0.90316,0.64157,1.04879,0.76766,1.92889,0.000170267,0.000170267,0.000170267
21,99.0119,0.76378,0.66854,1.24287,0.96293,0.92772,0.9199,0.64419,1.0553,0.67338,1.93703,0.000167244,0.000167244,0.000167244
22,103.461,0.83345,0.60619,1.25706,0.95785,0.92857,0.92765,0.65295,1.06124,0.632,1.95576,0.000164105,0.000164105,0.000164105
23,107.85,0.81604,0.61244,1.24885,0.96285,0.9258,0.94091,0.65861,1.05527,0.59242,1.94062,0.000160855,0.000160855,0.000160855
24,112.309,0.72354,0.60968,1.19948,0.94233,0.91071,0.95034,0.68336,1.05153,0.59549,1.91865,0.000157501,0.000157501,0.000157501
25,116.9,0.75856,0.60304,1.18715,0.96206,0.90571,0.95288,0.69563,1.06111,0.60802,1.93715,0.000154047,0.000154047,0.000154047
26,121.297,0.75817,0.61348,1.24486,0.95978,0.91071,0.95341,0.69403,1.04655,0.57831,1.93574,0.0001505,0.0001505,0.0001505
27,125.753,0.82068,0.66317,1.19895,0.96293,0.92765,0.94015,0.6806,1.03763,0.61024,1.9545,0.000146866,0.000146866,0.000146866
28,131.256,0.78216,0.62687,1.25378,0.96296,0.9284,0.92551,0.66547,1.04033,0.62241,1.95233,0.000143152,0.000143152,0.000143152
29,136.564,0.75644,0.5772,1.2154,0.9612,0.92857,0.92128,0.65531,1.06318,0.63898,2.00511,0.000139364,0.000139364,0.000139364
30,141.538,0.79661,0.64002,1.21143,0.96174,0.92857,0.92223,0.62652,1.08122,0.65495,2.04391,0.000135509,0.000135509,0.000135509
31,146.431,0.76857,0.5598,1.15896,0.96115,0.92857,0.92381,0.63292,1.07246,0.62353,2.0174,0.000131593,0.000131593,0.000131593
32,151.585,0.78257,0.56629,1.23158,0.96134,0.92857,0.9257,0.6385,1.06608,0.5811,2.00709,0.000127623,0.000127623,0.000127623
33,156.483,0.71553,0.50481,1.16153,0.96133,0.92857,0.9113,0.64644,1.05687,0.58677,1.99644,0.000123607,0.000123607,0.000123607
34,161.343,0.71683,0.54347,1.19719,0.96129,0.92857,0.92551,0.6632,1.07574,0.57551,2.03413,0.000119551,0.000119551,0.000119551
